model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1820.4853738674428,531.2800845175868,2348.2969065407497,828.920728542172,-0.3014362915754025,0.9959784826206572
Ridge,1791.2507684922498,565.2256719747875,2322.2419079716055,793.673533572801,-0.2727169194799881,0.8448453602017574
Lasso,1814.9067705393422,597.5089259176796,2342.8100132238865,821.0016479885363,-0.29536167670575475,0.9209978426294053
ElasticNet,1762.9611527523743,512.5605093192644,2254.578635003635,700.6958809824479,-0.1996309879535214,0.8088795598752534
RandomForest,1796.0083647623135,477.895798318587,2118.7034858094785,477.69150572362906,-0.05939340116717284,1.1174662260864627
GradientBoosting,1815.528655381816,420.0965570820382,2188.3538350992344,472.2698633933226,-0.1301913787134943,1.1435552538388039
SVR,1733.8318427417287,530.9088378855429,2213.0092503428345,668.4780197641583,-0.15580178210596718,0.8603277869039582
KNN,1991.2069219440352,300.93962324820205,2266.5160986029136,304.9641857710909,-0.21236814690969275,1.5212358291485841
BayesianRidge,1773.283460356376,512.131414342671,2267.6092178488248,710.7147782405739,-0.21353785625896116,0.8215096395690749
XGBoost,1706.8740712588594,428.1237207734545,2032.3494746596834,391.698754863298,0.025204130347516007,1.047748727463468
DecisionTree,2171.306987399771,550.3204409176432,2677.6333732149005,491.65113242874645,-0.6920731177330215,2.6268938089195046
