model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1918.5248196415282,775.0110869108452,2367.7868233916133,986.0393393869808,-1.365263578025857,1.1394277799221262
Ridge,1885.0482893065641,749.0460441009285,2324.1676368777153,975.2991980430702,-1.2841886628777561,1.081315247873785
Lasso,1915.7310687331324,769.3501111071092,2364.2211949720504,1000.2170877785476,-1.3606910267452306,1.1321470360066832
ElasticNet,1864.4532970274286,735.4867454788133,2283.943371452805,924.814245327654,-1.1537319832415003,0.9827501188638089
RandomForest,1739.4309574392523,592.9230695202397,2005.450715557441,620.6857799274809,-0.8761821712194753,1.2646820852954452
GradientBoosting,1724.244698658389,572.7838983321052,2088.7355295518273,535.833241881862,-1.0379904222354839,1.2819869577659775
SVR,1845.9884997645047,706.9423520117418,2216.1253464537963,852.1175380662331,-1.0609314095871085,1.0723592836791274
KNN,1962.0204764137477,441.3459894100283,2242.129918290326,466.49787767801513,-1.3089991600891988,1.3611880838598058
BayesianRidge,1863.587964768782,713.2080742646851,2287.735597806326,895.9588255121879,-1.1649320283237874,0.9736776663481507
XGBoost,1741.1369926653467,543.5685801579594,2019.0649631317453,624.1245585995956,-0.8700252454115688,1.1703296824775284
DecisionTree,2023.07747620128,552.5565017275197,2316.8023677540614,488.4784687070113,-1.4595152047403517,1.5244292459119444
