model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1843.9210369661923,612.5173942100969,2394.2043755404684,888.3019650013648,-0.3528179015043569,0.9128193887872851
Ridge,1791.807030780223,616.216376988728,2344.2036666986255,833.6003165421047,-0.2969032632972952,0.8735674601079159
Lasso,1823.9293347297826,646.068110208086,2372.170460739041,879.5085740286185,-0.3280324542556159,0.884545022017467
ElasticNet,1763.9293082740633,514.3780132947392,2256.868524360527,706.0911520324191,-0.20206906415240855,0.8034831432801235
RandomForest,1783.6849236008843,490.6408381625778,2117.0197262663833,475.1742849526336,-0.057710244489866724,1.108781024955676
GradientBoosting,1770.5883000360427,419.9985651722851,2143.2249675768794,453.28941698083764,-0.08405775634919643,1.1427552859424772
SVR,1737.7156183770035,531.7569632469954,2218.3611134324547,673.4850419575588,-0.16139884187946563,0.8606784273212216
KNN,2015.9241531664215,315.79423528642377,2286.9759362046852,319.7626251266477,-0.23435502987241708,1.5454701901479084
BayesianRidge,1774.6800467889623,517.9304162732076,2268.7611380149583,716.3416430133201,-0.21477109678070438,0.8201479083805817
XGBoost,1846.834672750886,494.0319139923565,2201.6740515847036,467.7310346290721,-0.1439918991147504,1.0993307405504138
DecisionTree,1933.6953402124796,545.1872980472933,2373.6310235353317,492.9886734860527,-0.32966831640218786,1.823106981239334
