model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1847.9559361016559,570.4194128860668,2190.2743079911775,632.4877575611109,-1.1478668159143874,1.1615561685086728
Ridge,1803.150346797565,621.728463705082,2188.1375655422967,734.7472970452083,-1.0701437568369878,1.0730576150974767
Lasso,1825.7177725126426,578.1813162795394,2181.1364506464815,635.5203384405736,-1.166353735590151,1.1485131182989459
ElasticNet,1807.6123077612713,639.5034533076629,2176.6320894908167,733.8216959688043,-1.0865722498069288,1.0738817039946191
RandomForest,1719.7468737725649,572.058906624216,2034.323505288321,591.8829197714118,-0.8609872038875398,1.241439004784467
GradientBoosting,1742.0962356735545,575.779196993401,2057.129342041118,580.9207093850819,-1.030134781102601,1.3619005008287906
SVR,1825.8892192307449,714.0815013503881,2193.1927559176515,794.720609921674,-1.1147940241865595,1.1170841369280928
KNN,1958.3919414836614,444.5349370435308,2249.550959551709,449.0651148859218,-1.3101104464071671,1.3487426890551206
BayesianRidge,1838.4465786592634,684.007855920703,2234.6355057434557,819.7986679535722,-1.0983811403437636,0.97896655459951
XGBoost,1625.0756610257365,474.6746913893311,1959.3469370261944,565.410854723556,-0.8076998021780202,1.0800108456969326
DecisionTree,2149.642985476846,347.4483069594305,2411.066158430434,414.1221998350484,-2.0822877780562368,1.8742964763822212
