model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1791.7360587356275,666.1672376999161,2230.0785691171204,819.109856939316,-1.0169461866413698,0.9096067589787555
Ridge,1808.2938531469458,685.0364826944997,2212.0162743884716,798.0616856035236,-1.013535415501216,0.9475460534142671
Lasso,1799.9081315473454,676.5152349772809,2226.041274600736,822.6309260506905,-1.030835151517492,0.919920693491626
ElasticNet,1805.5552015875219,685.4039742747664,2233.635159148638,819.5611286853795,-1.0178623869804904,0.8975738782657194
RandomForest,1738.2331279787825,606.5846500622205,2018.19732251624,611.2928121211364,-0.8494084487103732,1.2102735972395218
GradientBoosting,1712.4589448354775,522.9351658954937,2003.4677297618273,516.1236366278481,-0.9853394894772339,1.2088399266408234
SVR,1675.4009634943363,690.2249573548957,2048.559130728264,725.8948908657587,-0.8789186738013257,1.065831801024222
KNN,1955.3299854293473,470.64458517057585,2232.8355191235196,472.05439678826997,-1.293197172795476,1.3716328605211192
BayesianRidge,1854.7328956179056,697.9970289510356,2275.8098340018873,841.8372974271033,-1.0828792803997032,0.9047037446028009
XGBoost,1723.7564644614754,558.7772953746863,2011.742396796673,485.75341845220754,-0.83615111271239,1.1133319213816424
DecisionTree,2268.04652177926,569.2136531402482,2683.556480344939,688.5788293444461,-1.842107732693392,1.195979945002373
