model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1852.525290300062,486.1521985197024,2385.1273559479223,865.8227785340446,-0.34257961331852305,1.0370697223113263
Ridge,1781.2454260031557,562.4913491160039,2278.2882141695727,782.2306073266999,-0.22499475225659138,0.8202792239726112
Lasso,1807.7145824257516,540.007532171362,2323.215250229229,678.9802877661101,-0.273784033778393,0.9067250802626212
ElasticNet,1759.1304124356145,511.42116022124327,2250.050092393825,695.5273006823713,-0.19481667451555928,0.8024460359981107
RandomForest,1801.2065979381448,468.35177349365676,2117.4793399105592,487.0621280793928,-0.058169560787396435,1.1357418217570152
GradientBoosting,1762.3775217326731,461.1452452974417,2109.7173491774706,451.1412784147232,-0.05042596853037007,1.1516568859837695
SVR,1727.7337154502327,529.2205661864605,2209.26153799988,674.5422652665525,-0.15189041587052565,0.8493129525623639
KNN,1981.804860088365,302.23614689365286,2254.891476524444,317.4044378628843,-0.19996392858771417,1.539131954221223
BayesianRidge,1770.741870391257,516.6671079057235,2261.846961142668,710.8247049377527,-0.20737821292584568,0.8140446153574533
XGBoost,1791.6558353384746,436.00217174619644,2125.570951551299,401.34080479976325,-0.06627226734501823,1.0117341837657825
DecisionTree,2003.588005236459,335.7121347675921,2413.7002368656185,305.1785372616705,-0.3749394320179458,2.182843353506706
