model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,2090.5238813643077,555.1143667666533,2512.349284201568,647.4880494065875,-1.596983612528167,1.0141670765177526
Ridge,1986.5326594408355,542.3243317967786,2476.4818633106465,692.5372180241872,-1.4484874552164517,0.9577454685821769
Lasso,2060.4852588140834,540.7353742568145,2518.185082106628,660.6123487991882,-1.565242408767147,0.9838707169749802
ElasticNet,1865.8913556791454,502.2072336194012,2339.6300924036327,682.5191629474459,-1.2007946184248977,0.8225402814462398
RandomForest,1861.3624202228807,456.3778798632362,2135.8569448888397,475.0157903577724,-1.0091684732626407,1.1106084339454707
GradientBoosting,1815.3620466029545,413.15369744447634,2156.139371256363,419.9120313436322,-1.1800989253645695,1.3074925073250385
SVR,1801.6891447665585,534.1076460868793,2262.943532395251,676.6388246859109,-1.0652821963695567,0.8812763345659741
KNN,1988.7957758497662,313.9013162523043,2259.435587103038,319.1416893463769,-1.464861522054015,1.6033692166601956
BayesianRidge,1883.9714169231233,504.5487206514084,2358.9944667575305,688.0021530930607,-1.229697648669035,0.8394902907990768
XGBoost,1687.464371457218,444.43169875093196,1955.2203971099862,451.8250220616829,-1.004660532319904,1.2422195853674225
DecisionTree,1988.7600018139133,423.94392926866266,2429.7880361384737,466.4404110054539,-1.7934596727476222,2.1391477540853927
