,percentage,mae,mae_std
0,30,1492.5987817012901,199.92580110171932
1,40,1459.0099966227212,99.81820921445775
2,50,1421.757081414474,111.47419142375509
3,60,1390.2022892517975,61.707102107867264
4,70,1349.8289567057293,58.983288956147945
5,80,1356.7384664818549,52.58307841662386
6,90,1320.8731978236606,66.76970533321223
7,100,1308.4439055564562,54.435468141378145
