model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1875.7162571984663,592.4874256468894,2234.186875458894,670.92798741279,-1.2392623393093671,1.2188147265937987
Ridge,1808.1393216220247,601.2590551385498,2205.733708427403,710.5433393302418,-1.1770580459754272,1.1463348533613387
Lasso,1882.1166882423356,568.9336091994668,2244.1948349404215,666.3380728881264,-1.1992188964332764,1.2171258469265855
ElasticNet,1845.7414668492088,598.1194303584206,2220.0530915503837,699.7631432953054,-1.21584352952395,1.1936701581374836
RandomForest,1750.79882597943,580.8885419673646,2022.12993269508,584.4287082866931,-0.907937135212926,1.2206321046305217
GradientBoosting,1711.6642174759413,575.3648578272285,2027.8183034640963,516.0949335873929,-1.0098965357063054,1.3313029087814934
SVR,1799.8158075177664,693.5863295993203,2166.784648007422,776.0289464520356,-1.1543666025959791,1.151093974791083
KNN,1973.4947175489185,457.09528709982857,2261.7342770540604,455.1400442320452,-1.3057653035965124,1.3362608533387876
BayesianRidge,1842.0916523838737,677.4684510618285,2246.390374367306,826.8280648424931,-1.1316222304201973,0.9985686214588922
XGBoost,1725.1399856647727,499.10929662161396,1981.0163538644197,524.3243167307695,-0.7211864934687845,1.046016370878309
DecisionTree,1933.70556998317,187.2901829361061,2382.587925751265,437.393826142092,-1.8234017696673708,1.5283921808289804
