model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,1923.2157202480462,501.24531683206897,2438.4162135184733,696.4773843825344,-1.3238993342731402,0.7926921027946147
Ridge,1913.7564001933638,499.7628566081802,2426.3432868710165,691.0244520695641,-1.2917042064612005,0.7790497895713282
Lasso,1918.7685831091828,503.87154808483143,2439.255240026755,706.6532087702967,-1.28703212614251,0.7772590318985977
ElasticNet,1863.7466092751486,491.80291825411894,2350.567849094328,652.6584295104724,-1.1948874374145775,0.7988564743847762
RandomForest,1761.371582656679,495.9734140914057,2055.271769616137,488.60109371291003,-0.973887081041499,1.1464575797877847
GradientBoosting,1749.0690290688046,478.5428141408263,2079.706500855985,522.1061240031313,-0.9777225954355998,1.091500229134155
SVR,1777.579024215521,549.4345597104281,2240.8286795317663,662.0936040954729,-0.9668703270369337,0.813475946609626
KNN,1992.5447458098733,351.59946967298595,2233.5765282127063,385.02295881640737,-1.3431163126307388,1.3877686305232484
BayesianRidge,1863.8071242322326,492.2480984826898,2352.5715850021265,655.2997312523936,-1.183893168178556,0.7848862524854601
XGBoost,1807.9861636945916,336.96231209792313,2098.0095053706546,347.12824568444086,-1.2317275450306693,1.1943727802454147
DecisionTree,1920.8167518655403,480.34423817392235,2346.1364843249003,422.2330240236938,-2.052870850250057,2.2493594397537873
