model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1829.185223392602,533.7008284914114,2244.3065652562696,605.7223401476865,-1.213076503492874,1.2313014083577614
Ridge,1771.2705697658791,632.5784584569376,2117.3471363482827,743.7944300519384,-0.9379617500020281,0.9627305012902789
Lasso,1769.3915975991742,546.49392470932,2177.5693736863477,616.3347758464506,-1.1109517089601826,1.091982566168189
ElasticNet,1766.5751724426457,647.3962644989572,2130.7429989168545,758.8913298047171,-0.9618397346679555,0.962356950634684
RandomForest,1783.3676327892124,553.5072895342828,2035.162414161348,579.2335238858205,-0.8526723176481923,1.1741592386624125
GradientBoosting,1694.731992473698,599.7555327075263,1938.3556238371195,556.4340685364582,-0.7734249435690801,1.0944544962351812
SVR,1786.9599478537057,732.2632874059973,2145.5114922429552,853.0153848463716,-1.00350575682964,1.0277033101965738
KNN,1982.7509266172426,449.3970191733802,2254.903854702092,465.55539982098566,-1.2886651697971239,1.3158089945972176
BayesianRidge,1814.3176052348504,674.6860745513801,2207.7483045307363,827.0752204962248,-1.0519910921984952,0.955340690876436
XGBoost,1650.8570531608057,554.7329195467208,1957.1126989106301,554.8320071861517,-0.7560912372680532,1.140870963107863
DecisionTree,1947.6287465129797,340.46463154674706,2395.5846667099136,363.398904491476,-2.375848922490806,2.9187889535324425
