model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,2031.2307848970418,516.8595118098197,2529.521649530182,691.5848070172956,-1.6671696261862046,1.0500694154589663
Ridge,1950.5354753079653,515.0091472299525,2499.254516237813,751.3995425697353,-1.48510414027767,0.9529810498027083
Lasso,2002.513874576403,513.948930243092,2517.803546316265,709.8961071730438,-1.6139391367926479,1.015908966714173
ElasticNet,1860.470857206145,505.0029657865897,2344.5912052657104,689.6205546954687,-1.2037077901403512,0.8252042131438097
RandomForest,1784.4225784719115,478.8986209960506,2052.398364595735,461.06156859953114,-0.9175766591874727,1.1195428517657193
GradientBoosting,1795.119853877805,410.3080997523991,2130.2187913559237,432.18566878830575,-1.0536636441148695,1.1266734132697291
SVR,1789.68507283129,524.1326662218162,2255.596980856481,672.8221668489451,-1.0627682018469529,0.8878984439833479
KNN,1977.7717364485447,334.39968218169184,2284.9331310144894,331.3693474161866,-1.3965177492882814,1.4973370189133028
BayesianRidge,1873.969532634753,501.7445985784575,2361.385529826656,697.7320146745911,-1.2447571888899711,0.8398683139689321
XGBoost,1671.8724063869408,460.4324065969355,1959.7921738044322,425.7504374780452,-0.9187285981391815,1.2182941303333656
DecisionTree,1982.6271890985038,429.7795155892498,2457.160798331727,502.8504643350504,-1.8219820304646723,1.6758908200909848
