model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1918.938540533023,546.4866469901806,2420.1537816951814,663.9660310419099,-0.38230165154468554,1.0474829970892665
Ridge,1864.6636934783166,542.9794553502726,2371.728310638241,702.993796830068,-0.32753743505700883,0.9787598510746842
Lasso,1918.8679710274778,558.1253613518991,2434.4337127783147,688.809584603598,-0.3986621053334194,1.038479685351112
ElasticNet,1774.0996555339343,501.7565828218828,2260.1492837202727,682.3147277077987,-0.20556644623248377,0.8229822482437978
RandomForest,1800.230891425298,468.1910136377844,2133.6603799841682,471.87497639104106,-0.0744036793559415,1.1628965204194166
GradientBoosting,1812.5205375308512,456.92039141456405,2177.099734225009,449.01612923035776,-0.11859674380271179,1.1532308775892315
SVR,1751.417071873733,533.361117569528,2234.0402752460577,670.0381126374554,-0.17787416924968968,0.8766749305042072
KNN,1993.885125184094,318.92407029631266,2273.5952021584512,326.8034488277875,-0.21995325311891678,1.5352653004631391
BayesianRidge,1786.8622318795074,504.48535897099526,2277.1646875691804,685.4421110705206,-0.22378684992038567,0.8282274177435611
XGBoost,1735.9451702943782,436.6631907098471,2096.955027320642,455.83688619809607,-0.037755715619909314,1.195012865512526
DecisionTree,1986.0451224319781,376.6168617826494,2407.2159386033427,347.998073569055,-0.36756192783290187,2.0588517848967256
