model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1806.337825094362,532.6103080744158,2217.285397834504,648.8088572318238,-1.2629895151617947,1.2158562219526925
Ridge,1773.6097582503814,633.1280925019252,2118.17048292812,713.9359808582994,-1.0075662459723265,1.019962118293869
Lasso,1814.320443215535,565.658525216466,2144.2835374834485,635.8296082748092,-1.111253920303096,1.109140735908154
ElasticNet,1781.0662931138918,655.3063712783966,2160.735086460605,778.5674593033343,-1.0032307680089572,0.9925745485180234
RandomForest,1790.8867098655392,545.1351126651259,2036.1885389417555,581.8983162885683,-0.8473365110151466,1.1376668994140648
GradientBoosting,1715.6709325520133,560.9277664755206,2032.348725849109,513.5430573277611,-0.8410845507290963,1.144456343615368
SVR,1777.7316654125257,725.7540220482274,2130.655587728591,808.7801150555359,-1.0481855511392069,1.075224697329619
KNN,2025.0342846462559,416.48394570710775,2306.7500021686656,380.7024959247122,-1.530953525907518,1.4792067312208281
BayesianRidge,1818.5401156881267,674.0435329698114,2214.0230908025287,826.1935801746478,-1.0700802617218073,0.9640740510096031
XGBoost,1630.3044426365736,588.1507524224384,1916.5976506119775,589.0048690192149,-0.7963667183775571,1.1787851751554057
DecisionTree,2055.9062004171965,382.9627279264038,2368.0590324354976,344.4179167263298,-2.2234893150809523,2.6579002889790453
