model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,2082.4936288466424,484.7305037609215,2394.8986675182327,536.5178230293014,-0.353602618809173,1.330022947448287
Ridge,2082.4874900547984,484.726210747843,2394.891412170997,536.5135527432029,-0.35359441734138164,1.3300133029004755
Lasso,2082.3956460315285,484.7284595558305,2394.8224488544256,536.504124683076,-0.35351646222758615,1.329988865574713
ElasticNet,2082.4132790951535,484.6825334188951,2394.8086829863887,536.4687995621837,-0.3535009017625814,1.3299158282780696
RandomForest,2149.568093178726,425.2530539197334,2503.579898083795,447.16465934095027,-0.47924398796624135,1.550490266567682
GradientBoosting,2048.7467717819122,473.1702182268869,2369.9726970668735,526.44237509484,-0.3255728085637113,1.279996910182014
SVR,2159.454330309379,617.106939927438,2510.274563167755,654.6434668624618,-0.48716567134123356,1.761369564893475
KNN,2108.910162002945,441.33200690911525,2459.290762751379,487.3632662767996,-0.42737030782721885,1.4369491556970095
BayesianRidge,2063.5732338912403,471.95822515569256,2372.8192040647273,523.7401408787027,-0.3287589366179007,1.3022896245292366
XGBoost,2026.6199158344073,472.721097300465,2356.848908944345,527.3260675923813,-0.3109326654050397,1.269430357392345
DecisionTree,2046.8625669513683,450.82235489658814,2358.6246159517827,491.79453731569697,-0.31290878634686536,1.3919383639844205
