model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1989.9906330883719,672.0152234174179,2342.4166213274143,768.3975245042499,-1.2555615665860467,1.1282883955426122
Ridge,1989.9906779123073,672.0151868522231,2342.4164101846577,768.3972383991245,-1.2555612751777705,1.128288713436199
Lasso,1989.9908766810672,672.0142175618146,2342.4147518481836,768.3944188511041,-1.255559192031023,1.1282907589483464
ElasticNet,1989.990876681421,672.0142175626329,2342.4147518476057,768.3944188506719,-1.255559192051901,1.128290758975544
RandomForest,1807.569676447842,580.9331293697458,2090.2352681209,557.808332957545,-1.0903298684833194,1.3727920098207032
GradientBoosting,1861.797836565342,649.9551169698648,2115.1343998929833,647.2456866641527,-1.020958566170223,1.349685470609283
SVR,1937.1657943853984,770.8886180921867,2249.09191150759,835.732496832287,-1.0160462436104143,1.2810153236943707
KNN,1871.4562807880552,549.4504627303857,2141.786082487116,530.4201182588597,-1.192655062992001,1.4057532055045279
BayesianRidge,2002.6166604324349,673.896525601855,2339.982178991286,756.1823490193593,-1.2549233087040956,1.1602047013366044
XGBoost,1827.6665913114641,608.8575495729492,2095.192291809515,588.0447369852624,-1.0317669271269767,1.2778097680438159
DecisionTree,1844.7146455137377,473.6548062159569,2166.2356202812125,457.474128928664,-1.1334242549967077,1.1611163547172378
