model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1852.3369814027094,620.4193286797106,2215.596558929911,612.7394427818259,-1.1219269992930925,1.059965240144278
Ridge,1785.4077921468154,638.1904049736944,2147.537531345458,761.8417594817039,-0.9670473025542238,0.9774568149174128
Lasso,1848.7744342171263,577.5928092984386,2173.7149692623548,659.9689335809131,-1.1035742815536422,1.0656109614336857
ElasticNet,1780.0899422615832,656.3920239175234,2129.5220892275743,740.7285173067355,-0.9479483173613907,0.9784206980392258
RandomForest,1795.0278111159982,569.2138765591897,2080.6354531350025,602.903301141692,-0.9111257762364406,1.132205518645841
GradientBoosting,1680.5370903230687,529.5476560122621,1972.6450125608321,542.8491772907498,-0.8853133018512468,1.2546322109348094
SVR,1773.9697108413943,707.9254353182196,2142.428226388026,849.0514700656997,-0.9856416342585016,1.0308406815771858
KNN,1984.753600786839,438.3411284642931,2324.279088394152,366.8430894775198,-1.5935291922797274,1.5256462052286985
BayesianRidge,1819.3395413530768,675.263910908498,2211.745242081506,818.4886830674969,-1.0525907456878225,0.9538497661379196
XGBoost,1698.2805668437509,571.2717958587051,1980.5066399658942,562.976453215783,-0.7843833360093674,1.1078163495038673
DecisionTree,1909.248760166752,285.7134575732247,2361.243090412068,348.2852428393616,-1.8471176536497693,1.7271509900555657
