model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,1959.6940733417425,570.4471597505594,2406.739785945118,735.0352431159369,-1.301185322013918,0.8874696983831588
Ridge,1936.755266954079,567.9905785308915,2379.1912838638264,726.3999649380968,-1.226280496449529,0.7803924500093925
Lasso,1940.249656142246,514.6512890769046,2448.6167066293774,837.1566532269904,-1.2737192233991903,0.9078524342700093
ElasticNet,1852.5333569830204,510.4753493167099,2327.3203348469615,695.700068240013,-1.1659600709320075,0.8025427352068968
RandomForest,1846.8728138818758,489.4374510798347,2090.7704664025773,479.69781959499966,-0.9414266785859597,1.126430501800273
GradientBoosting,1734.1717358943006,457.34383097246103,2059.301994390732,463.1529769754838,-0.9751637152134233,1.127291952819925
SVR,1779.594201159546,524.1374257692064,2236.164659242689,671.4199169334887,-1.0113597195213404,0.8496883167949388
KNN,2015.6164959278838,287.03538468214185,2290.3751503309186,329.4294601244816,-1.3967758770988177,1.4350700947201744
BayesianRidge,1866.1117060750373,508.4082755496189,2334.918429621773,695.164807523035,-1.1882024505774305,0.8137865545152159
XGBoost,1745.84778817845,396.61310069015553,2055.591743713968,443.7402158752442,-0.9176803061754686,0.9721970335673533
DecisionTree,2320.775960137655,278.58045761192545,2692.146349337475,111.86405711243668,-2.9046423322827106,2.9932074164271207
