model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1780.8265560856528,425.5958903711279,2277.5932161383334,575.1245207408908,-0.2242474902731475,0.8504434257527075
Ridge,1779.4585815090995,428.39810401139084,2275.5990495781243,579.4473357574694,-0.2221046276977574,0.8468475432582389
Lasso,1780.7691586800568,425.9066513456251,2277.627733721959,575.4771139961136,-0.2242845982036077,0.85173809728225
ElasticNet,1772.8241384290861,456.51732553345204,2261.8710209336678,616.2355438947592,-0.20740389938692072,0.8292415339772985
RandomForest,1752.1532726845037,425.7843464781326,2104.7361391590475,437.19293360971557,-0.04547154625823069,1.1801401848566406
GradientBoosting,1799.691100650779,426.8514502992002,2188.5949725107976,437.25753491791454,-0.13044046680386567,1.2422128043283376
SVR,1820.4665904741023,475.1299776231054,2362.727178453646,656.6623670840863,-0.31748007314019855,0.892528323665776
KNN,1901.9543446244477,347.8158258034655,2223.8990499640236,349.4067089726893,-0.16720473270412195,1.4403521929990901
BayesianRidge,1781.9576591446362,479.3816939965827,2264.4520958692665,632.1408107692514,-0.21016106636250909,0.8206519246816391
XGBoost,1771.9412917304285,381.2688415156469,2134.856971196341,377.76350261971385,-0.07560910315431313,1.324826291713581
DecisionTree,1829.0075414452958,437.3042273103783,2339.4528219410295,415.6059971589275,-0.2916518913988253,1.332137323050091
