model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1912.4312683032956,543.4621446261411,2354.375501010563,681.1165856381114,-0.30818257834735663,1.0102271249507122
Ridge,1912.4313764133096,543.462082971999,2354.375229212707,681.1161337717657,-0.3081822763044588,1.0102272046962517
Lasso,1912.4045932321867,542.81217643379,2353.485544151386,679.4008451656468,-0.3071937759930088,1.0105168153346518
ElasticNet,1912.4179307264455,543.1367189008054,2353.929973043063,680.2581163846713,-0.3076875198665132,1.0103705523960396
RandomForest,1804.3463080052488,487.8645346957114,2166.91554954654,474.5694607735907,-0.10815592612595393,1.1306049069898483
GradientBoosting,1825.958688784996,563.3717997482643,2185.4023711971936,556.6376676382945,-0.1271448242327997,1.1843937893781016
SVR,1925.6349846387213,680.2303539396653,2345.1174919138925,727.4321531398334,-0.29791458660402204,1.2312932581286162
KNN,1885.464653902798,408.4446802066875,2240.121684477557,397.7778335530099,-0.18429561519773752,1.395778530969412
BayesianRidge,1926.01732815094,541.3795715440893,2343.863705078522,649.3224739349444,-0.29652713099205585,1.0147308697108923
XGBoost,1830.6980861388531,430.40151674543876,2194.7310128266267,440.85725510447116,-0.1367880569268609,1.2544086234354053
DecisionTree,1946.6885633280053,450.1986300404197,2359.1053725043753,463.30980972748637,-0.3134440591708214,1.6044414240513518
