model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,1963.2780358843731,547.4204564393943,2544.5157724514347,839.2918075316746,-1.4721896540103514,0.8604807226596779
Ridge,1949.1624241460675,543.5289760447076,2503.7861472581762,800.3196513638434,-1.4249140592211957,0.825399062819023
Lasso,1957.2790953566232,544.7717994385912,2530.170376640739,836.7630765046515,-1.4301871799417945,0.8064461760243278
ElasticNet,1872.89594698278,510.61452724182215,2381.6535622169567,708.8130551585474,-1.2371821162725722,0.7907842756157731
RandomForest,1796.060608666027,492.6691155137182,2068.582070254561,491.8764504707852,-0.9181011300873919,1.097923616479952
GradientBoosting,1799.6264834215367,451.49945885636055,2086.955158681208,380.48906620637695,-1.112630883915738,1.1423268271269456
SVR,1764.3127647569825,486.9647231080964,2230.2578661965017,596.8719272012684,-0.9273221782379706,0.7666672358372715
KNN,1970.306794092607,364.7365574058868,2247.259929975893,366.7025172487384,-1.3557861096056958,1.436186641981556
BayesianRidge,1879.1960267790487,512.9640970335629,2392.362950970336,717.5169640685328,-1.236728645923718,0.7784886416731475
XGBoost,1761.9380943059612,410.1418216679656,2108.187149639558,442.08218846903395,-0.9952820513628255,1.124733384456377
DecisionTree,1897.4924160222188,386.32679120284087,2358.5973789658374,482.8193734882535,-1.6761904038956392,1.6416825044787022
