model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,1923.3535767296137,474.52538757289335,2497.445383171266,764.8849735699947,-1.5257995491644853,1.0312433635247957
Ridge,1916.145067752467,453.57663244740723,2503.4116032801207,755.3916164771522,-1.5464226597614843,1.0256080087000514
Lasso,1907.0035610140196,460.1885455982135,2491.6792326253776,774.3306332972475,-1.5313721052008018,1.0115576711239458
ElasticNet,1853.9989137297107,488.15266745720095,2355.2551438191617,686.0368199790877,-1.230723380996214,0.8307180639328834
RandomForest,1760.5363251621486,489.7548467525287,2029.1867514354265,499.3469631295689,-0.893224850462013,1.123727380084989
GradientBoosting,1809.2879254486404,404.8398969941776,2099.3356027839177,450.8425822340703,-1.093752606757424,1.107487148256171
SVR,1759.3854969557556,455.9719461040822,2259.7341464438828,596.6431470902684,-1.1099237324349158,0.9054270764371009
KNN,1978.9949194489254,354.8942822395069,2251.849994874373,355.88196103999536,-1.4031204312006649,1.4894390756710643
BayesianRidge,1862.9015558595518,484.0055059632238,2366.051773784541,695.0172051809968,-1.244080658809038,0.8403015443784222
XGBoost,1688.2481666222943,504.89143549868294,1969.0347453476165,459.8250688448897,-0.9600376103425485,1.2090889316345959
DecisionTree,1839.348965187522,480.3078729589665,2454.0232599973383,528.5054422000854,-1.7386209780915263,1.9207199987437225
