model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,1976.4057934990196,539.1824249721708,2528.3764047286613,822.8038259416941,-1.4947480781398057,0.9786740288433154
Ridge,1922.1592830945133,568.3772001542657,2429.53669694737,770.9667067136428,-1.2944596672370081,0.8550899876742413
Lasso,1970.2932913943328,542.0691028846654,2497.5281600975277,777.8226666048714,-1.5080217119241732,0.9466998934965173
ElasticNet,1855.0996209023615,508.95725075770815,2330.3102627426106,696.7256673174008,-1.1735296815105258,0.80699815209527
RandomForest,1816.077753861143,457.4543011272215,2079.638723842227,462.49035772013855,-0.9308398418446782,1.1319637029359686
GradientBoosting,1791.841388097218,415.05301333852447,2095.7609486148585,453.5220249586408,-1.0261897027165443,1.1533748295752742
SVR,1786.462026370916,531.3885816124568,2242.261272335172,670.878987055741,-1.0300260877416103,0.8619847295703693
KNN,1988.407302287204,297.87038565636374,2273.1279800180782,307.16041362988807,-1.4459827016075946,1.5412009165925247
BayesianRidge,1874.5079355956618,513.2492135241265,2347.5503264023173,709.8181574534082,-1.2093356049205044,0.8245895745948105
XGBoost,1786.8108817335458,462.8908357626055,2049.056653536406,404.9315823012951,-1.0148906330049727,1.117954081250758
DecisionTree,1963.4969267617075,313.6031011576748,2350.135620551394,374.3500700346017,-2.306437556436671,2.37785438677698
