model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1845.0369030134395,551.5267668084318,2392.495087673832,782.7662792125068,-0.3508869637601415,0.9695851040413292
Ridge,1832.8950782009308,533.075543074426,2374.367955487106,760.240087318129,-0.33049407842408063,0.9414216318205232
Lasso,1846.371199425061,527.6247992105308,2391.111355454307,786.1328939469352,-0.34932480777611685,0.9784450801863703
ElasticNet,1763.6488010445034,507.5023223764397,2263.2237850101865,696.5227146372329,-0.2088485627049621,0.8285841831984497
RandomForest,1775.3899590901656,485.7083093142005,2115.3359025400696,494.26820639850376,-0.05602836188573557,1.1557933612747826
GradientBoosting,1772.4881966395546,438.30114543759436,2121.0072294471593,456.922943344027,-0.06169848791947952,1.0934580600133683
SVR,1740.96772233781,519.8234353400566,2224.147773528723,659.785281295078,-0.16746583048753272,0.8891091060158501
KNN,1972.35800005572,324.60343159894853,2265.5513703813435,339.7545527192407,-0.21133629291197864,1.470188058789943
BayesianRidge,1778.9707871952933,502.5043441035582,2286.3488102733813,705.3311396674862,-0.23367816231070493,0.8431472464994499
XGBoost,1690.775656159391,425.3468617174657,2064.5518458949664,408.1450001750772,-0.005931686007747183,1.0502424858597001
DecisionTree,1809.7533289448238,278.481058487288,2234.7814106343185,453.51054930506274,-0.1786558105127456,1.4891851862720746
