model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,2133.51211029043,484.7305037609215,2390.184947575649,536.5178230293014,-1.4606937222681242,1.3300229474482872
Ridge,2133.5067747844414,484.7262107478429,2390.17996775929,536.5135527432029,-1.460682746425996,1.3300133029004755
Lasso,2133.396489562189,484.7284595558303,2390.0990738508954,536.504124683076,-1.4605508728765808,1.329988865574713
ElasticNet,2133.4370577777886,484.6825334188951,2390.1177325324197,536.4687995621837,-1.4605545076971578,1.3299158282780703
RandomForest,2157.8962016525434,425.2530539197334,2484.0174497661183,447.16465934095027,-1.8057690329211127,1.550490266567682
GradientBoosting,2085.6060281926393,473.1702182268869,2360.6915796043845,526.44237509484,-1.4055154816396516,1.279996910182014
SVR,2164.6422027272306,617.106939927438,2439.838283617864,654.6434668624618,-1.684166179865425,1.7613695648934755
KNN,2121.301756306091,446.2790992704638,2443.9602364842895,487.4118178223578,-1.639078167920939,1.4361412559553568
BayesianRidge,2116.669936869964,471.95822515569256,2374.7443212015705,523.7401408787027,-1.4274857020615304,1.3022896245292366
XGBoost,2061.541190988429,472.721097300465,2346.9006624344293,527.3260675923813,-1.376023657975471,1.269430357392345
DecisionTree,2063.7666925949948,450.82235489658814,2327.586597162473,491.79453731569697,-1.424078217446668,1.3919383639844205
