model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,2150.552463997555,541.1052257394609,2414.5708000143327,579.2395960692845,-1.4743150521692023,1.3273969470809701
Ridge,2150.530908411149,541.0465678650813,2414.501940005702,579.173800888195,-1.4742055372000376,1.3273615254839362
Lasso,2150.4470899329563,540.9938653511629,2414.3758104130748,579.085588766158,-1.4739955099614024,1.3273676735603157
ElasticNet,2150.2534606315758,540.38350611479,2413.6601278667404,578.3774894224201,-1.4729397897454473,1.3271142390993038
RandomForest,1964.320974365061,498.2512446471966,2212.6636281644824,497.4663449105612,-1.2285735423777457,1.285773898789262
GradientBoosting,1939.6506099301546,481.6471523431885,2198.516685195477,483.2283511450442,-1.2153520862859721,1.2905509787547031
SVR,2174.360610240908,618.6827112577236,2445.985979554288,653.851555395753,-1.7247752608141442,1.8161563929381292
KNN,2005.3604305382632,505.85346115935886,2282.5446499983746,500.85307432514065,-1.3790643734292987,1.3851836728795308
BayesianRidge,2116.6699373602414,471.9582259876292,2374.744319251433,523.7401406462028,-1.4274856981990904,1.3022896239259
XGBoost,1945.3296734429139,540.4289731705298,2175.445441051455,533.9831056812342,-1.107473882722012,1.2136336952144107
DecisionTree,1994.405534858625,450.4191006237446,2286.3588883239727,492.6772882914026,-1.430479016300799,1.4626742644739799
