model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,2089.3855946384742,541.1052257394571,2414.598354243764,579.2395960693841,-0.37596282897406663,1.3273969470810034
Ridge,2089.37144214306,541.0465678650835,2414.532341058063,579.173800888187,-0.3758875945584097,1.3273615254839402
Lasso,2089.3022576232897,540.9938653511643,2414.4219691600024,579.0855887661348,-0.3757618096584616,1.3273676735603814
ElasticNet,2089.201702278979,540.3835061147792,2413.7690095489147,578.3774894224363,-0.37501778443285816,1.3271142390992865
RandomForest,1968.045502805832,498.2512446471966,2273.974357548881,497.4663449105612,-0.22036017728924429,1.285773898789262
GradientBoosting,1932.8757346422121,481.6471523431885,2254.1339944890447,483.2283511450442,-0.1991578601296471,1.2905509787547031
SVR,2176.139115617551,618.6827112577236,2524.1791658310804,653.8515553957526,-0.5036863482504916,1.8161563929381281
KNN,1995.4329896907216,506.94421132785766,2332.9348362839346,501.2005166036608,-0.2844645351810555,1.3886607432852065
BayesianRidge,2063.5732343191853,471.9582259876292,2372.8192023199026,523.7401406462028,-0.3287589346637261,1.3022896239259
XGBoost,1930.0262061050257,540.4289731705298,2237.2229633669945,533.9831056812342,-0.1812326373175912,1.2136336952144107
DecisionTree,2015.554581743723,450.4191006237446,2355.6320080299324,492.6772882914026,-0.3095792792692682,1.4626742644739799
