model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1895.2151118942581,449.680607968667,2367.581083078541,546.3319117652985,-0.32289880403052074,1.131467880740167
Ridge,1843.3949792665687,492.94836462078797,2331.748853160843,613.5482603644467,-0.28315891272878857,0.9973309952990985
Lasso,1892.707055967812,465.3670989247909,2373.0987038163626,585.5372983194613,-0.3290719901075525,1.0734214802378255
ElasticNet,1772.7011065584645,496.1167609289017,2263.1091162849175,670.2832681388229,-0.20872607052097902,0.8313472579981299
RandomForest,1795.5256829372279,475.5067681868393,2140.963688863699,474.1782905020279,-0.08177142283422079,1.0924386258459662
GradientBoosting,1767.1294107561114,426.36009410105714,2133.573671640615,418.7409639920243,-0.07431635723917807,1.1128416143719277
SVR,1744.0555687735264,529.3611178128446,2221.852264758234,672.3421157819603,-0.16505722695074443,0.882121199343903
KNN,1984.6452160698882,335.5451050968763,2274.3226066773723,339.7044446280801,-0.22073399145244932,1.567843421793731
BayesianRidge,1782.2974840031454,493.83617214639304,2269.652438610692,662.3090196375769,-0.21572574895878804,0.8414525836143919
XGBoost,1679.338897390464,380.6878119311444,2043.3767993710396,479.04460218038184,0.01459714245029009,1.1406332362265315
DecisionTree,2007.489351170021,516.1698617625271,2415.396600605951,448.5905227160599,-0.3768727433494756,1.7443331750067943
