model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1860.2635120867496,594.1448416727353,2399.931554574154,763.8963277265829,-0.35929779703711784,0.8980007662657965
Ridge,1823.283102085477,584.4499050208559,2347.3490114320803,746.996237090517,-0.3003858484956716,0.8576909479139946
Lasso,1885.8231125872285,599.0788871049477,2424.111960930546,778.8183176044818,-0.3868268779919235,0.8799330348356849
ElasticNet,1769.4144631408299,510.8155441421651,2260.2023503702353,693.4440382536889,-0.20562305853160678,0.820746470869927
RandomForest,1815.7802686425891,480.0423303312264,2143.6941619210984,510.608278462112,-0.08453245168055767,1.193080420140662
GradientBoosting,1784.3902991124808,432.2831397134476,2128.9420783433306,437.2189111877033,-0.06965713619689673,1.2325432403514645
SVR,1739.160447727793,526.4227582924091,2216.746612471867,670.4756596069382,-0.1597089481985403,0.8619216809446136
KNN,1967.5458022365015,304.93224158986607,2251.78032747379,308.0509457559508,-0.19665495232896557,1.519868010571162
BayesianRidge,1781.6539559964028,518.080709067769,2274.051913255108,703.5514488081858,-0.2204434214200086,0.8270832877436098
XGBoost,1753.1057783303802,489.4603558911993,2129.460434192588,542.8444048464826,-0.07017808088520239,1.0827286810142387
DecisionTree,2239.0787832846354,261.084161212816,2657.2398500909608,312.5826058003428,-0.6663967690765116,1.5073659773339327
