model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2063.5732322987315,471.95822406093004,2372.8192019895228,523.7401396585267,-0.32875893429370606,1.302289621924095
LinearRegression,1829.7093725777231,557.9338306890918,2405.645631975211,841.2362744502935,-0.36577829796794514,0.8313814033268423
Ridge,1820.2058459960851,549.7877890082455,2399.7889425551316,800.9254043087445,-0.35913625372706615,0.804169946019918
Lasso,1830.8222957103542,553.4831119669275,2421.7473712660144,835.8874644208549,-0.3841226488334626,0.819073127773032
ElasticNet,1773.0030511879445,509.4254915886901,2286.235880261663,719.0820464210929,-0.2335562947741423,0.7880345074321558
RandomForest,1767.8923097692686,487.7033550622733,2123.939070365994,456.04926254400687,-0.06463566075990568,1.1087289897236945
GradientBoosting,1804.501436510056,425.3185363545948,2176.1236096508087,473.35148506833656,-0.11759390045731855,1.1695537936771845
SVR,1702.3057326126223,493.4093080767548,2189.9817629127874,620.9346561093942,-0.1318735146596599,0.7706863463807591
KNN,1962.3600883652432,357.18880811651553,2261.8988503733826,357.92407189551955,-0.20743361070151756,1.4382127472220343
BayesianRidge,1777.8952945392637,512.262408333564,2293.8318733590077,714.7079526670005,-0.24176686585537088,0.7776743694242266
XGBoost,1762.3744198514014,419.2670432197507,2112.905271560729,424.1739902535934,-0.05360289314929134,1.0955254371423833
DecisionTree,1912.4738642800498,397.61586121753567,2348.4934979824907,373.5340466251657,-0.3016542043492776,1.3301216934214293
