model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2075.963259217463,539.2923331670172,2354.671689981481,584.255137121632,-1.3678162543185617,1.3224587977490838
LinearRegression,1929.4057910008166,576.971652224163,2267.3612609514985,614.3241794226402,-1.348394370104759,1.2232427973653033
Ridge,1859.1179168046044,612.3334738692166,2246.4472485088863,729.3286099503775,-1.199707126604655,1.1004322228392764
Lasso,1896.1588505234274,576.9843970858966,2252.3358286361777,662.417840109194,-1.2879791790369892,1.1812670061045902
ElasticNet,1838.4005990498204,661.3809963182758,2245.646091381689,797.6075876090978,-1.1298056392760745,1.0089031620875661
RandomForest,1731.2240512123221,604.7898476498954,2040.6863060389376,614.7265965254727,-0.8965620221008608,1.264776982948267
GradientBoosting,1717.5335806801402,546.0847225852393,2006.8145929832422,548.4680991738666,-1.0003916949736098,1.3307606451480183
SVR,1848.7385528084487,667.800204649713,2233.356928970706,730.0945806452173,-1.2377194891072938,1.193129373416446
KNN,1951.4431270633218,468.64110647883837,2236.846354876394,479.03559764938416,-1.286988696314698,1.3417599597739058
BayesianRidge,1850.8633153937565,680.3531923680677,2257.412208275711,810.4464198420718,-1.132929878909925,0.9893600736847834
XGBoost,1684.405970015933,490.6861342168455,1955.077210298857,509.03983413388437,-0.816572671879298,1.1428493345251325
DecisionTree,2056.053749342086,309.6404743938495,2514.9938096263263,200.01335770924658,-2.1755034816593675,2.3135745794369322
