model,mae,mae_std,rmse,rmse_std,r2,r2_std
AverageModel,2116.6699354461475,471.95822406093004,2374.744319786257,523.7401396585267,-1.4274856989882174,1.302289621924095
LinearRegression,1931.9984548091184,472.7544637311218,2472.2638133375794,741.5526585104186,-1.4986555853765715,0.9468499641291364
Ridge,1924.7497549044879,488.22252334895063,2450.7245882577295,727.675836930261,-1.406212225625955,0.9183199177408453
Lasso,1931.0665999551898,485.9626642038093,2463.297377122285,734.8029529365609,-1.4637594329931987,0.9488688942938149
ElasticNet,1855.2181145654122,496.2098541313552,2346.273969911363,686.607341425707,-1.210092701310907,0.822353374235576
RandomForest,1770.7780059642148,485.446788411407,2023.000346275713,484.8474576529786,-0.911290680707625,1.1074966893314997
GradientBoosting,1753.0071786438234,404.575853341542,2106.645767890075,459.3075689313659,-1.0379766428280182,1.169441153255844
SVR,1779.81279364717,512.9113763450891,2248.920771756633,650.8171577412195,-1.0392140226115112,0.881794686961346
KNN,1981.7411205215146,339.2017012193348,2255.099632327826,344.1987879868292,-1.4127171271111911,1.48431590780361
BayesianRidge,1865.736499159866,486.066038309745,2359.6784629766776,686.8423632832,-1.2257513575582475,0.8341934224847564
XGBoost,1705.2188837461817,465.1811525020981,2002.3473370401505,452.15546491563805,-0.9164593479262209,1.1322584748691193
DecisionTree,1896.5819020924341,328.2426620938591,2336.9034857990055,387.80629937112104,-1.513273805356628,1.2507015751067911
